Stock,Date,Open,High,Low,Close,Volume
HILTON,14-Mar-23,112.95,113,109.1,109.65,17521
HILTON,13-Mar-23,113.45,116.85,110,113,53594
HILTON,10-Mar-23,113.45,114,109,113.55,45785
HILTON,09-Mar-23,113.1,115,111.1,113.45,53122
HILTON,08-Mar-23,115,115.85,111,113.5,26828
HILTON,06-Mar-23,117.85,117.85,113.5,114.55,52151
HILTON,03-Mar-23,115.9,118.15,111.9,115.75,56084
HILTON,02-Mar-23,117.6,117.6,112.6,115.9,54829
HILTON,01-Mar-23,113,118.45,111.8,117.6,143370
HILTON,28-Feb-23,110,114.95,106.65,113.95,189189
HILTON,27-Feb-23,119.9,119.9,111.8,112.25,276213
HILTON,24-Feb-23,114,119,108.3,117.65,519386
HILTON,23-Feb-23,117.1,118.35,113,114,105524
HILTON,22-Feb-23,115.5,118.7,114.25,117.05,138466
HILTON,21-Feb-23,121,122.95,115.25,116.4,133214
HILTON,20-Feb-23,116.8,119.5,111.65,117.2,289179
HILTON,17-Feb-23,115.5,118.5,113.7,116.55,271724
HILTON,16-Feb-23,110.5,114.45,107.3,114.45,351386
HILTON,15-Feb-23,107,111,104,109,287433
HILTON,14-Feb-23,110,112.35,101.65,106.15,714794
HILTON,13-Feb-23,104.5,109.6,99.55,107,794091
HILTON,10-Feb-23,92.35,101.3,88.85,99.65,1033558
HILTON,09-Feb-23,82.6,92.5,82.35,92.35,575620
HILTON,08-Feb-23,82.5,86.95,82.5,84.1,86208
HILTON,07-Feb-23,82.35,84.75,82.35,84,70759
HILTON,06-Feb-23,81.05,82.3,80,81.75,40165
HILTON,03-Feb-23,82.75,84,79.35,81.05,157052
HILTON,02-Feb-23,82.95,84.5,80.5,82.7,63734
HILTON,01-Feb-23,87.4,88.3,82.05,82.45,205062
HILTON,31-Jan-23,87,90,85,86.35,212015
HILTON,30-Jan-23,84,87.25,83.55,86.85,239641
HILTON,27-Jan-23,87,87.05,81.5,83.1,272631
HILTON,25-Jan-23,87,88.9,85.45,85.7,139692
HILTON,24-Jan-23,93.35,93.35,86.45,87.9,848776
HILTON,23-Jan-23,87.5,88.95,85.2,88.95,67092
HILTON,20-Jan-23,79,84.75,77.55,84.75,377324
HILTON,19-Jan-23,82.75,84.2,80.5,80.75,524126
HILTON,18-Jan-23,88.35,88.9,84,84.35,661491
HILTON,17-Jan-23,92,96,87.4,87.6,1081611
HILTON,16-Jan-23,88.4,91.9,88,91.9,789261
HILTON,13-Jan-23,86.75,88.8,85.45,87.55,1034416
HILTON,12-Jan-23,81.5,84.65,81.5,84.65,617711
HILTON,11-Jan-23,77.2,81.65,75.5,80.65,440146
HILTON,10-Jan-23,76.7,78.05,74.85,77.8,964285
HILTON,09-Jan-23,74.35,74.35,72.2,74.35,383563
HILTON,06-Jan-23,68,70.85,66,70.85,325347
HILTON,05-Jan-23,66,68,65.9,67.5,124742
HILTON,04-Jan-23,66.5,66.7,65.3,65.7,48377
HILTON,03-Jan-23,66.45,68.1,65.1,65.95,102925
HILTON,02-Jan-23,65.85,66.9,64,66.8,164049
HILTON,30-Dec-22,64.95,64.95,63.25,63.75,55567
HILTON,29-Dec-22,64.85,64.85,63.1,63.7,21418
HILTON,28-Dec-22,63.95,65.3,63.55,63.85,37209
HILTON,27-Dec-22,65.4,65.4,62.85,63.45,52776
